충전소주소,충전기타입,충전기ID,충전기명칭,충전기 상태 코드,충전방식,충전소ID,충전소 명칭,위도,경도,충전기 상태 갱신 시각
서울특별시 중구 다동 85-4 한외빌딩 앞 노상주차장,급속,7769,급속01,충전가능,DC콤보,2947,한국관광공사 옆 노상 공영주차장,37.568226,126.981962,2024-05-27 16:11:22
서울특별시 중구 다동 85-4 한외빌딩 앞 노상주차장,급속,7770,급속02,통신장애,DC콤보,2947,한국관광공사 옆 노상 공영주차장,37.568226,126.981962,2024-05-20 12:24:46
제주특별자치도 제주시 용담2동 1950-5 주차장,급속,6126,급속09,충전가능,DC차데모+DC콤보+AC3상,2229,제주공항,33.5047571414185,126.493375539139,2024-05-27 16:12:22
전라남도 무안군 일로읍 청호리 산 23-65(상행) (실외캐노피기설)광주방면국도주차장,급속,687,급속01,고장/점검,DC차데모+DC콤보+AC3상,242,무안 청호쉼터(광주방면 국도),34.788602,126.515277,2023-02-06 18:19:59
경기도 부천시 도당동 185-148 고객주차장,완속,1260,완속06,충전가능,BC타입(5핀),39,부천지사_공용,37.5070808886724,126.786374468798,2023-01-20 10:35:55
제주특별자치도 제주시 삼양일동 1660-5 관리사무실 주변,급속,708,급속01,충전가능,DC차데모+DC콤보+AC3상,257,제주 삼양 유적지,33.523015,126.588182,2024-05-27 16:12:58
강원도 평창읍 중리 156-1 지사뒷편 주차장,급속,777,급속01,충전가능,DC차데모+DC콤보+AC3상,270,평창지사,37.370874,128.403546,2024-05-27 16:15:34
서울특별시 구로구 고척동 63-6 지하주차장옆 비상도로(지상),급속,8035,급속02,충전가능,DC차데모+DC콤보+AC3상,3028,고척스카이돔,37.49852664014724,126.86627418191368,2024-05-27 16:14:50
서울특별시 구로구 고척동 63-6 지하주차장옆 비상도로(지상),급속,8036,급속03,충전중,DC차데모+DC콤보+AC3상,3028,고척스카이돔,37.49852664014724,126.86627418191368,2024-05-27 16:15:00
충청북도 옥천군 청산면 지전리 74-3 정문 좌측 지상주차장,급속,6865,급속01,충전가능,DC차데모+DC콤보+AC3상,2587,청산면사무소,36.346048,127.79219,2024-05-27 16:14:16
제주특별자치도 제주시 화북2동 3378-6 주차장,급속,8062,급속01,충전가능,DC차데모+DC콤보+AC3상,3041,화북2동 공영주차장,33.5090443749781,126.560729976787,2024-05-27 16:12:44
전라남도 순천시 남정동 568-2 (실외완전노출)주차장 입구 우측,급속,6006,급속02,충전가능,DC차데모+DC콤보+AC3상,2147,순천원예농협 하나로마트,34.939344,127.493203,2024-05-27 16:13:50
전라남도 순천시 연향동 1513-1 (실외완전노출)공영 주차장 내,급속,6743,급속01,충전가능,DC차데모+DC콤보+AC3상,2496,금당공용주차장,34.9446253712067,127.52582673978,2024-05-27 16:15:00
전라남도 순천시 낙안면 평촌리 10-2 (실외완전노출)주차장 공중화장실 옆,급속,6744,급속01,충전가능,DC차데모+DC콤보+AC3상,2497,낙안읍성 주차장,34.9035100805526,127.343853546407,2024-05-27 16:14:51
세종특별자치시 종촌동 664 지상 2층 주차장,급속,6880,급속01,충전가능,DC차데모+DC콤보+AC3상,2602,종촌공영주차장,36.503891,127.249742,2024-05-27 16:15:00
경상남도 양산시 주진동 72-2 주차장내,급속,6090,급속01,충전가능,DC차데모+DC콤보+AC3상,2204,양산웅상출장소,35.39490591360583,129.15517055773378,2024-05-27 16:13:11
경기도 성남시 분당구 백현동 534 지하1층 주차장 B09,급속,8064,급속01,충전가능,DC차데모+DC콤보+AC3상,3044,판교역 환승주차장,37.39497045272768,127.11251376742984,2024-05-27 16:17:26
전라북도 군산시 나운동 1223-5 공원 주차장 은파 관리사무소 뒤,급속,6836,급속01,충전중,DC차데모+DC콤보+AC3상,2563,은파호수공원,35.955432,126.689087,2024-05-27 16:15:00
경기도 수원시 권선구 구운동 218-1 식자재 매장 앞 주차장,급속,6875,급속01,충전가능,DC차데모+DC콤보+AC3상,2598,수원유통센터,37.282562,126.967714,2024-05-27 16:14:30
제주특별자치도 서귀포시 서귀동 284-1 서귀동 284-1,급속,8038,급속02,충전가능,DC차데모+DC콤보+AC3상,3029,제주권역재활센터,33.2527601186048,126.5622876671,2024-05-27 16:12:43
제주특별자치도 서귀포시 표선면 하천리 1493-4 주차장,급속,8039,급속01,충전가능,DC차데모+DC콤보+AC3상,3030,표선 해양경비단,33.357139184503,126.822873934685,2024-05-27 16:16:07
충청북도 단양군 단양읍 상진리 84 입구 우측 지상주차장,급속,6845,급속01,통신장애,DC차데모+DC콤보+AC3상,2570,단양보건소,36.981588,128.350968,2024-05-17 12:36:25
세종특별자치시 나성동 778 지하주차장,급속,6783,급속01,충전가능,DC차데모+DC콤보+AC3상,2525,2생활권 환승주차장2(B),36.4814314568828,127.262149578183,2024-05-27 16:14:24
경상남도 거제시 고현동 362 관광안내소 앞 지상주차장,급속,6716,급속01,고장/점검,DC차데모+DC콤보+AC3상,2472,포로수용소유적공원,34.8755999599864,128.624660356913,2024-05-27 16:17:05
인천광역시 중구 남북동 928-6 용유동사무소 뒷편 테니스장과 건물 사,급속,6827,급속01,충전가능,DC차데모+DC콤보+AC3상,2555,용유동사무소,37.443996,126.402333,2024-05-27 16:13:57
경상남도 거제시 상동동 590-1 주차장건물 들어와 왼쪽 A04기둥,급속,6113,급속01,충전가능,DC차데모+DC콤보+AC3상,2225,거제농수산물종합유통센터,34.8739640818205,128.632958471027,2024-05-27 16:15:00
경기도 수원시 팔달구 화서동 643 지상1F 주차장,급속,668,급속01,충전가능,DC차데모+DC콤보+AC3상,227,화서역 환승주차장,37.28587725919803,126.99036394007379,2024-05-27 16:13:40
세종특별자치시 나성동 719 지하주차장,급속,6786,급속02,충전가능,DC차데모+DC콤보+AC3상,2524,2생활권 환승주차장1(A),36.4810037003631,127.26127605644,2024-05-27 16:16:10
세종특별자치시 아름동 1352 지상 2층 주차장,급속,6882,급속01,충전가능,DC차데모+DC콤보+AC3상,2603,아름공영주차장,36.511573,127.247795,2024-05-27 16:11:31
강원도 원주시 우산동 316-9 지사주차장,급속,1301,급속02,충전가능,DC차데모+DC콤보+AC3상,44,원주지사(공용),37.372274,127.938467,2024-05-27 16:16:45
경기도 성남시 수정구 태평동 3742 지상주차장 정면,급속,1281,급속02,충전가능,DC차데모+DC콤보+AC3상,25,성남지사(공용),37.4443895339508,127.13051937519,2024-05-27 16:15:00
경상북도 구미시 구미대로 256 3층주차장 자동차정비소 옆,급속,6079,급속01,충전가능,DC차데모+DC콤보+AC3상,2195,이마트 구미점,36.109244,128.36503,2024-05-27 16:16:19
경상남도 창원시 의창구 원이대로 450(두대동145) GS25 앞,급속,616,급속01,충전중,DC차데모+DC콤보+AC3상,196,창원스포츠파크,35.234108,128.663252,2024-05-27 16:15:00
경상남도 창원시 의창구 원이대로 450(두대동145) GS25 앞,완속,622,완속02,충전중,BC타입(5핀),196,창원스포츠파크,35.234108,128.663252,2024-05-27 16:15:00
서울특별시 성북구 안암동5가 126-16 (고려대학교안암캠퍼스) B3층 16번기둥,급속,648,급속01,충전가능,DC차데모+DC콤보+AC3상,214,고려대학교(자연과학),37.58358844893844,127.02635101125968,2024-05-27 16:16:07
강원도 춘천시 서면 현암리 367-3 지상주차장,급속,5935,급속02,충전가능,DC차데모+DC콤보+AC3상,2087,애니메이션박물관,37.893901,127.689949,2024-05-27 16:12:45
강원도 평창군 대관령면 횡계리 374-18 대관령한우타운 지상주차장,급속,5957,급속02,충전가능,DC차데모+DC콤보+AC3상,2106,평창영월정선 축협,37.675396,128.700232,2024-05-27 16:13:35
강원도 속초시 청호동 459-134 3층주차장,급속,5962,급속01,충전가능,DC차데모+DC콤보+AC3상,2111,이마트 속초점,38.1909270397245,128.596088881621,2024-05-27 16:16:55
충청북도 충주시 문화동 1024 4층주차장 우측,급속,5970,급속01,충전가능,DC차데모+DC콤보+AC3상,2119,이마트 충주점,36.971371,127.923844,2024-05-27 16:14:26
경상북도 상주시 경상대로 2559 지상주차장(도서관(본관)뒤 서측),급속,6082,급속01,충전가능,DC차데모+DC콤보+AC3상,2198,경북대학교(상주캠퍼스),36.379383,128.143199,2024-05-27 16:15:00
"경상북도 상주시 경상대로 3141 2층주차장(남서 측, 매장입구 옆)",급속,6083,급속01,충전가능,DC차데모+DC콤보+AC3상,2199,이마트 상주점,36.42783192,128.15115573,2024-05-27 16:15:00
부산광역시 영도구 동삼동 1011 위쪽 직진 좌측,급속,6094,급속02,충전중,DC차데모+DC콤보+AC3상,2206,태종대공원입구 주차장,35.06243160410342,129.08250605119161,2024-05-27 16:15:00
경상남도 고성군 마암면 도전리 670-8 사무소 앞,급속,6099,급속01,충전가능,DC차데모+DC콤보+AC3상,2211,마암면사무소 주차장,35.05519,128.336717,2024-05-27 16:16:06
경상남도 창원시 성산구 가음동 47-2 옥상 주차장,급속,6100,급속01,충전가능,DC차데모+DC콤보+AC3상,2212,남창원농협 농수산물유통센터,35.20417,128.703138,2024-05-27 16:17:07
경상남도 합천군 가야면 가야산로 1160 4번 지상주차장(주소: 가야면 야천리 896),급속,6102,급속01,고장/점검,DC차데모+DC콤보+AC3상,2214,대장경테마파크,35.765625,128.135074,2024-05-27 16:14:47
서울특별시 동대문구 휘경동 286-66 휘경중학교 옆 배봉공영주차장 내,급속,822,급속02,충전가능,DC차데모+DC콤보+AC3상,284,배봉공영주차장,37.5869080359485,127.06204758143,2024-05-27 16:17:26
"서울특별시 도봉구 마들로 656 (방학동, 도봉구청) 구청 지상주차장",급속,645,급속01,충전중,DC차데모+DC콤보+AC3상,212,도봉구청,37.669174,127.047097,2024-05-27 16:15:00
서울특별시 성북구 안암동5가 1-2 (고려대학교안암캠퍼스) B3층 11번기둥,급속,647,급속02,충전가능,DC차데모+DC콤보+AC3상,213,고려대학교,37.588985,127.033897,2024-05-27 16:16:07
서울특별시 성북구 안암동5가 126-16 (고려대학교안암캠퍼스) B3층 16번기둥,완속,841,완속01,충전가능,BC타입(5핀),214,고려대학교(자연과학),37.58358844893844,127.02635101125968,2024-05-27 16:14:59
부산광역시 부산진구 전포동 689-28 경남공고옆 도로 전주부착형 충전소,완속,5855,완속01,통신장애,C타입(5핀),518,(전주거치형)경남공고옆,35.153443400786045,129.06283478977446,2024-05-23 11:05:37
제주특별자치도 제주시 애월읍 유수암리 1017-1 커피집 왼쪽,급속,1451,급속01,충전중,DC차데모+DC콤보+AC3상,416,유수암,33.424263,126.408643,2024-05-27 16:15:00
제주특별자치도 서귀포시 중산간서로 95 주차장 입구 오른쪽,급속,1468,급속02,충전중,DC차데모+DC콤보+AC3상,426,강창학경기장,33.259867,126.50178,2024-05-27 16:15:00
제주특별자치도 서귀포시 성산읍 일주동로 4120번길 7 본관건물 왼쪽,급속,1474,급속01,충전가능,DC차데모+DC콤보+AC3상,429,동부소방서,33.460444,126.910027,2024-05-27 16:13:43
서울특별시 강동구 구천면로 42길 60(천호동) 지하1층 주차장 좌측 바로 앞,급속,663,급속01,충전중,DC차데모+DC콤보+AC3상,225,천호1동 공영주차장,37.545049,127.136282,2024-05-27 16:15:00
대구광역시 달서구 대곡동 1041 대구수목원 제3주차장 우측,급속,684,급속01,충전가능,DC차데모+DC콤보+AC3상,239,대구수목원 제3주차장,35.80316924614386,128.51881980624404,2024-05-27 16:13:14
광주광역시 서구 풍암동 857-1 (실외완전노출)좌측 첫번째 주차장,급속,691,급속01,충전가능,DC차데모+DC콤보+AC3상,244,풍암호수공원 공영주차장,35.1257587279277,126.868890819731,2024-05-27 16:11:56
제주특별자치도 제주시 한림읍 한림리 887-2 입구 주차장(육상트랙 주변),급속,713,급속02,충전가능,DC차데모+DC콤보+AC3상,259,한림체육관,33.4095484456147,126.268139261129,2024-05-27 16:15:45
경상남도 밀양시 가곡동 545-6 바로 앞쪽,급속,465,급속01,충전가능,DC차데모+DC콤보+AC3상,163,밀양지사,35.4734328932716,128.764955483788,2024-05-27 16:13:26
경기도 양평군 서종면 문호리 766-1 면사무소 뒷편 주차장,급속,5864,급속01,충전가능,DC차데모+DC콤보+AC3상,2027,서종면사무소,37.60684,127.348504,2024-05-27 16:11:48
경기도 남양주시 진접읍 금강로유연들1길 154 5층 주차장,급속,5866,급속01,충전가능,DC차데모+DC콤보+AC3상,2029,이마트 진접점,37.7091401858346,127.182142384335,2024-05-27 16:14:46
경기도 양주시 남방동 1-1 요금소 지나서 100m앞오른쪽주차장,급속,5870,급속01,충전가능,DC차데모+DC콤보+AC3상,2032,양주시청,37.7849805483056,127.045250053183,2024-05-27 16:15:22
경기도 연천군 전곡읍 은대리 573 전곡읍사무소 왼쪽 지상주차장,급속,5875,급속01,충전가능,DC차데모+DC콤보+AC3상,2036,전곡읍사무소,38.027767,127.063312,2024-05-27 16:15:02
"경기도 고양시 덕양구 화정동 963 지하주차장 1층, 언덕넘어, 좌측 D-2 구역",급속,5887,급속01,충전가능,DC차데모+DC콤보+AC3상,2046,화정환승공영주차장,37.6349992087856,126.832649445938,2024-05-27 16:15:33
경기도 가평군 조종면 현리 567-7 지상주차장,급속,5890,급속01,충전가능,DC차데모+DC콤보+AC3상,2049,조종면사무소,37.817427,127.352985,2024-05-27 16:15:04
서울특별시 서초구 우면동 763 4층 주차장,급속,5894,급속01,충전가능,DC차데모+DC콤보+AC3상,2052,남서울농협 하나로마트 우면점,37.45685749231517,127.01585735496195,2024-05-27 16:17:42
경상남도 남해군 남해읍 남변리 555 지상주차장,급속,6111,급속01,충전가능,DC차데모+DC콤보+AC3상,2223,유배문학관주차장,34.8323408500144,127.899904027687,2024-05-27 16:17:31
경상남도 거창군 거창읍 수남로 2241 농협 주차장 농협건물 앞,급속,6115,급속01,충전중,DC차데모+DC콤보+AC3상,2227,거창사과원예농협 하나로마트,35.678866,127.911338,2024-05-27 16:15:00
경기도 용인시 처인구 모현읍 왕산리 815-2 지상주차장,급속,5904,급속01,충전가능,DC차데모+DC콤보+AC3상,2061,모현농협 하나로마트,37.33569803041286,127.24870540460784,2024-05-27 16:15:47
강원도 춘천시 동내면 신촌리 583-1 지상주차장,급속,5932,급속01,충전가능,DC차데모+DC콤보+AC3상,2085,동내면사무소,37.848012,127.761109,2024-05-27 16:10:44
대구광역시 북구 산격동 1370-1 IT대학1호관 앞 주차장,급속,6069,급속02,충전가능,DC차데모+DC콤보+AC3상,2187,경북대학교(대구캠퍼스),35.887792,128.613286,2024-05-27 16:15:00
광주광역시 서구 농성동 649-8 (실외완전노출)지상주차장,완속,1016,완속01,충전가능,BC타입(5핀),319,광주전남전력관리처(공용),35.152576142405344,126.88297919853167,2019-06-21 11:20:59
강원도 춘천시 서면 현암리 367-3 지상주차장,급속,5934,급속01,충전가능,DC차데모+DC콤보+AC3상,2087,애니메이션박물관,37.893901,127.689949,2024-05-27 16:16:57
경기도 남양주시 진접읍 해밀예당1로 8 옥외 주차장,급속,5868,급속02,충전가능,DC차데모+DC콤보+AC3상,2030,하나로마트 진접점,37.70982,127.184661,2024-05-27 16:11:03
경기도 양주시 남방동 1-1 요금소 지나서 100m앞오른쪽주차장,급속,5871,급속02,충전가능,DC차데모+DC콤보+AC3상,2032,양주시청,37.7849805483056,127.045250053183,2024-05-27 16:13:00
경기도 화성시 봉담읍 동화리 597-1 F5 C1,급속,5908,급속01,충전중,DC차데모+DC콤보+AC3상,2064,수원농협 하나로마트 봉담점,37.2175950554593,126.959089827351,2024-05-27 16:15:00
인천광역시 부평구 십정동 186-411 지하주차장 2층 G-2번,급속,5917,급속01,충전가능,DC차데모+DC콤보+AC3상,2071,부평아트센터,37.482107,126.704236,2024-05-27 16:17:28
제주특별자치도 제주시 한림읍 한림중앙로 150 북측 주차장,급속,707,급속02,충전가능,DC차데모+DC콤보+AC3상,256,서부소방서,33.402687,126.270434,2024-05-27 16:14:39
경기도 동두천시 평화로 2262 1층주차장(정문에서 좌측),급속,876,급속01,충전중,DC차데모+DC콤보+AC3상,302,동두천지사,37.889739,127.057408,2024-05-27 16:15:00
경상남도 거창군 거창읍 강남로 246 후문 입구 우측 전기차충전소 내부위치,급속,463,급속01,충전가능,DC차데모+DC콤보+AC3상,73,거창지사,35.687001,127.923721,2024-05-27 16:11:50
경상남도 진주시 상대동 33-85 건물정면 오른쪽 지상주차장,급속,470,급속01,충전가능,DC콤보,82,진주지사(공용),35.18053278012333,128.12230385880883,2024-05-27 16:16:57
전라남도 함평군 함평읍 내교리 485-12 (실외완전노출)지상주차장 좌측,급속,287,급속01[VP],충전가능,DC차데모+DC콤보+AC3상,127,함평지사(공용),35.0602753806018,126.518479216474,2024-05-27 16:13:20
서울특별시 영등포구 문래동3가 80 영등포전력사업처 지상주차장 출구측,완속,1716,완속06,충전가능,BC타입(5핀),21,남서울직할(영등포)지사(공용),37.51990363243469,126.89351482995948,2019-06-21 11:20:34
경기도 화성시 마도면 마도북로 403 지사 후면 주차장(주차장진입시 정면에 위치),급속,1720,급속01,충전가능,DC차데모+DC콤보+AC3상,304,화성지사,37.206232,126.771805,2024-05-27 16:15:00
강원도 평창군 대관령면 횡계리 376-10 관광안내소 주차장,급속,6679,급속01,충전가능,DC차데모+DC콤보+AC3상,2441,대관령면 관광안내소,37.67866,128.699797,2024-05-27 16:14:18
서울특별시 노원구 노원길 130 리더십센터,급속,8044,급속01,통신장애,DC차데모+DC콤보+AC3상,36,인재개발원,37.6351988,127.0873634,2023-11-08 12:41:58
전라남도 나주시 빛가람동 358 주차장 입구 제일왼쪽 대각선 끝지점,급속,8045,급속01,충전중,DC차데모+DC콤보+AC3상,3034,한국농어촌공사 본사,35.020093,126.775,2024-05-27 16:15:00
충청남도 금산군 금산읍 아인리 198-5 도로쪽 입구 주차장,급속,925,급속01,충전가능,DC차데모+DC콤보+AC3상,313,금산지사,36.107525,127.482885,2024-05-27 16:15:00
"전라북도 전주시 완산구 홍산로 158 (효자동2가, 한국토지주택공사 전북본부) 지하 3층 주차장(구역 102동 B3 44)",급속,1423,급속02,충전가능,DC차데모+DC콤보+AC3상,400,LH전북본부,35.807581,127.104901,2024-05-27 16:12:49
광주광역시 북구 운암동 164 (실외완전노출)입구진입화장실우측,완속,1193,완속01,충전가능,BC타입(5핀),350,광주광역시립 미술관,35.18069306393595,126.88200848534401,2024-05-27 16:16:59
전라남도 여수시 소라면 대포리 산 125-6 (실외완전노출) 엑스포대로 여수방향,급속,1191,급속02,충전가능,DC차데모+DC콤보+AC3상,349,여수 대포리 졸음쉼터,34.815629,127.620338,2024-05-27 16:17:12
제주특별자치도 제주시 가령로 68 제주전력지사,급속,1166,급속01,충전가능,DC차데모+DC콤보+AC3상,136,제주전력지사,33.498596,126.536653,2024-05-27 16:15:00
전라남도 구례군 구례읍 봉서리 1082-2 (실외완전노출) 한전사옥내 주차장,급속,1014,급속01,충전가능,DC차데모+DC콤보+AC3상,169,구례지사,35.197876,127.463585,2024-05-27 16:13:23
